,team,total_matches,neutral_matches,neutral_matches_wins,neutral_matches_losses,neutral_matches_draws,neutral_matches_goal_scored,neutral_matches_goal_conceded,home_matches,home_matches_wins,home_matches_losses,home_matches_draws,home_matches_goal_scored,home_matches_goal_conceded,away_matches,away_matches_wins,away_matches_losses,away_matches_draws,away_matches_goal_scored,away_matches_goal_conceded,color,tot_wins,tot_losses,tot_draws,home_win_rate,away_win_rate,neutral_win_rate,tot_goal_scored,tot_goal_conceded,goal_scored_rate,goal_conceded_rate,home_goal_scored_rate,away_goal_scored_rate,neutral_goal_scored_rate,home_goal_conceded_rate,away_goal_conceded_rate,neutral_goal_conceded_rate
57,Kuwait,572,205,94,56,55,336,208,226,106,59,61,387,209,141,38,63,40,157,204,honeydew,41.60839160839161,31.11888111888112,27.27272727272727,46.902654867256636,26.95035460992908,45.85365853658537,880,621,1.5384615384615385,1.0856643356643356,1.7123893805309736,2.74468085106383,1.6390243902439023,0.9247787610619469,1.4822695035460993,1.0146341463414634
58,Latvia,410,51,18,19,14,64,61,160,58,64,38,211,232,199,41,113,45,223,388,hotpink,28.536585365853657,47.80487804878049,23.65853658536585,36.25,20.603015075376884,35.294117647058826,498,681,1.2146341463414634,1.6609756097560975,1.31875,1.0603015075376885,1.2549019607843137,1.45,1.1658291457286432,1.196078431372549
59,Lebanon,280,69,18,36,15,78,117,116,40,34,42,174,140,95,19,54,22,71,174,indianred,27.500000000000004,44.285714285714285,28.214285714285715,34.48275862068966,20.0,26.08695652173913,323,431,1.1535714285714285,1.5392857142857144,1.5,1.831578947368421,1.1304347826086956,1.206896551724138,1.4736842105263157,1.6956521739130435
60,Lesotho,257,50,12,26,12,53,82,101,22,34,45,84,106,106,13,69,24,71,223,indigo,18.28793774319066,50.19455252918288,31.517509727626457,21.782178217821784,12.264150943396226,24.0,208,411,0.8093385214007782,1.5992217898832686,0.8316831683168316,0.7924528301886793,1.06,1.0495049504950495,1.0,1.64
61,Liberia,250,30,8,19,3,30,41,116,51,29,36,133,103,104,10,76,18,59,206,ivory,27.6,49.6,22.8,43.96551724137931,9.615384615384617,26.666666666666668,222,350,0.888,1.4,1.146551724137931,1.2788461538461537,1.0,0.8879310344827587,0.9903846153846154,1.3666666666666667
62,Libya,341,85,33,24,28,123,82,127,73,22,32,223,116,129,17,86,26,83,216,khaki,36.070381231671554,38.70967741935484,25.219941348973606,57.48031496062992,13.178294573643413,38.82352941176471,429,414,1.2580645161290323,1.2140762463343109,1.7559055118110236,1.7286821705426356,1.4470588235294117,0.9133858267716536,0.8992248062015504,0.9647058823529412
63,Lithuania,381,50,16,21,13,60,84,137,49,60,28,159,190,194,39,125,30,177,417,lavender,27.296587926509186,54.06824146981627,18.635170603674542,35.76642335766424,20.103092783505154,32.0,396,691,1.0393700787401574,1.8136482939632546,1.1605839416058394,0.8195876288659794,1.2,1.3868613138686132,0.979381443298969,1.68
64,Luxembourg,415,14,2,11,1,9,33,226,26,165,35,158,527,175,10,149,16,87,552,lavenderblush,9.156626506024097,78.3132530120482,12.530120481927712,11.504424778761061,5.714285714285714,14.285714285714285,254,1112,0.6120481927710844,2.6795180722891567,0.6991150442477876,0.9028571428571428,0.6428571428571429,2.331858407079646,3.0114285714285716,2.357142857142857
65,Malawi,574,108,48,27,33,146,104,266,116,70,80,363,260,200,36,110,54,176,365,lawngreen,34.84320557491289,36.062717770034844,29.094076655052266,43.609022556390975,18.0,44.44444444444444,685,729,1.1933797909407666,1.2700348432055748,1.3646616541353382,1.815,1.3518518518518519,0.9774436090225563,1.3,0.9629629629629629
66,Malaysia,606,206,81,73,52,353,318,224,98,69,57,386,269,176,32,103,41,171,342,lemonchiffon,34.81848184818482,40.42904290429043,24.752475247524753,43.75,18.181818181818183,39.32038834951456,910,929,1.5016501650165017,1.533003300330033,1.7232142857142858,2.1931818181818183,1.7135922330097086,1.2008928571428572,1.5284090909090908,1.5436893203883495
67,Mali,505,159,65,53,41,213,181,155,88,26,41,249,119,191,47,96,48,178,280,lightblue,39.603960396039604,34.65346534653465,25.742574257425744,56.774193548387096,24.60732984293194,40.88050314465409,640,580,1.2673267326732673,1.1485148514851484,1.6064516129032258,1.3036649214659686,1.3396226415094339,0.7677419354838709,0.6230366492146597,1.1383647798742138
68,Malta,410,24,6,15,3,20,55,219,35,137,47,176,390,167,10,136,21,62,492,lightcoral,12.439024390243903,70.24390243902438,17.317073170731707,15.981735159817351,5.9880239520958085,25.0,258,937,0.6292682926829268,2.2853658536585364,0.8036529680365296,1.0538922155688624,0.8333333333333334,1.7808219178082192,2.3353293413173652,2.2916666666666665
69,Mexico,888,391,198,106,87,641,416,267,178,33,56,631,212,230,75,94,61,273,319,lightcyan,50.788288288288285,26.238738738738736,22.972972972972975,66.66666666666666,32.608695652173914,50.63938618925832,1545,947,1.739864864864865,1.0664414414414414,2.363295880149813,2.743478260869565,1.639386189258312,0.7940074906367042,0.9217391304347826,1.0639386189258313
70,Morocco,541,124,51,31,42,164,107,235,149,32,54,418,141,182,51,67,64,175,204,lightgoldenrodyellow,46.39556377079482,24.029574861367838,29.57486136783734,63.40425531914894,28.021978021978022,41.12903225806452,757,452,1.399260628465804,0.8354898336414048,1.778723404255319,2.2967032967032965,1.3225806451612903,0.6,0.7747252747252747,0.8629032258064516
71,Mozambique,320,58,15,32,11,45,87,128,65,28,35,190,111,134,25,75,34,105,207,lightgray,32.8125,42.1875,25.0,50.78125,18.65671641791045,25.862068965517242,340,405,1.0625,1.265625,1.484375,1.4179104477611941,0.7758620689655172,0.8671875,0.8283582089552238,1.5
72,Netherlands,802,91,49,18,24,166,81,378,220,73,85,923,392,333,139,122,72,564,514,lightgreen,50.87281795511222,26.55860349127182,22.568578553615957,58.201058201058196,41.74174174174174,53.84615384615385,1653,987,2.061097256857855,1.2306733167082293,2.441798941798942,2.7717717717717716,1.8241758241758241,1.037037037037037,1.177177177177177,0.8901098901098901
73,New Zealand,362,84,30,40,14,117,128,114,63,31,20,270,156,164,53,80,31,232,286,lightgrey,40.331491712707184,41.71270718232044,17.955801104972377,55.26315789473685,32.31707317073171,35.714285714285715,619,570,1.7099447513812154,1.574585635359116,2.3684210526315788,1.646341463414634,1.3928571428571428,1.368421052631579,0.9512195121951219,1.5238095238095237
74,Nigeria,583,179,80,55,44,247,191,181,122,13,46,378,110,223,67,78,78,236,285,lightpink,46.14065180102916,25.04288164665523,28.81646655231561,67.40331491712708,30.04484304932735,44.6927374301676,861,586,1.476843910806175,1.0051457975986278,2.088397790055249,1.695067264573991,1.3798882681564246,0.6077348066298343,0.49327354260089684,1.0670391061452513
75,North Macedonia,251,25,7,10,8,21,30,116,48,45,23,164,136,110,19,58,33,110,175,lightsalmon,29.482071713147413,45.0199203187251,25.49800796812749,41.37931034482759,17.272727272727273,28.000000000000004,295,341,1.1752988047808766,1.3585657370517927,1.4137931034482758,1.490909090909091,0.84,1.1724137931034482,1.2363636363636363,1.2
76,Northern Ireland,656,36,7,20,9,33,58,252,97,100,55,328,351,368,63,219,86,322,825,lightseagreen,25.45731707317073,51.67682926829268,22.865853658536587,38.492063492063494,17.119565217391305,19.444444444444446,683,1234,1.041158536585366,1.8810975609756098,1.3015873015873016,0.8913043478260869,0.9166666666666666,1.3928571428571428,0.9538043478260869,1.6111111111111112
77,Norway,816,44,15,16,13,60,61,389,161,131,97,645,537,383,123,185,75,523,750,lightskyblue,36.6421568627451,40.68627450980392,22.67156862745098,41.38817480719794,32.114882506527415,34.090909090909086,1228,1348,1.5049019607843137,1.6519607843137254,1.6580976863753214,1.6840731070496084,1.3636363636363635,1.3804627249357326,1.402088772845953,1.3863636363636365
78,Oman,458,149,42,68,39,174,221,198,99,50,49,320,169,111,31,54,26,101,180,lightslategray,37.55458515283843,37.55458515283843,24.890829694323145,50.0,27.927927927927925,28.187919463087248,595,570,1.2991266375545851,1.244541484716157,1.6161616161616161,2.8828828828828827,1.167785234899329,0.8535353535353535,1.5225225225225225,1.483221476510067
79,Panama,443,111,32,51,28,153,206,158,73,39,46,224,144,174,35,104,35,146,336,lightslategrey,31.60270880361174,43.792325056433405,24.604966139954854,46.20253164556962,20.114942528735632,28.82882882882883,523,686,1.18058690744921,1.5485327313769752,1.4177215189873418,1.2873563218390804,1.3783783783783783,0.9113924050632911,0.8275862068965517,1.8558558558558558
80,Paraguay,729,197,82,62,53,319,294,198,101,50,47,303,201,334,76,164,94,336,551,lightsteelblue,35.5281207133059,37.86008230452675,26.611796982167352,51.010101010101,22.75449101796407,41.62436548223351,958,1046,1.3141289437585735,1.4348422496570645,1.5303030303030303,0.907185628742515,1.619289340101523,1.0151515151515151,0.6017964071856288,1.4923857868020305
81,Peru,640,175,66,62,47,260,235,237,104,82,51,335,285,228,34,137,57,191,409,lightyellow,31.874999999999996,43.90625,24.21875,43.88185654008439,14.912280701754385,37.714285714285715,786,929,1.228125,1.4515625,1.4135021097046414,1.469298245614035,1.4857142857142858,1.2025316455696202,1.25,1.3428571428571427
82,Poland,832,97,52,20,25,159,96,365,185,84,96,716,406,370,119,160,91,523,617,lime,42.78846153846153,31.73076923076923,25.48076923076923,50.68493150684932,32.16216216216216,53.608247422680414,1398,1119,1.6802884615384615,1.3449519230769231,1.9616438356164383,1.9351351351351351,1.6391752577319587,1.1123287671232878,1.0972972972972972,0.9896907216494846
83,Portugal,630,97,53,22,22,159,87,292,167,51,74,608,272,241,85,103,53,301,366,limegreen,48.41269841269841,27.936507936507937,23.65079365079365,57.1917808219178,35.26970954356847,54.63917525773196,1068,725,1.6952380952380952,1.1507936507936507,2.0821917808219177,2.5228215767634854,1.6391752577319587,0.9315068493150684,1.1286307053941909,0.8969072164948454
84,Qatar,548,174,64,57,53,234,218,251,129,66,56,439,238,123,37,66,20,117,184,linen,41.97080291970803,34.48905109489051,23.54014598540146,51.39442231075697,30.081300813008134,36.7816091954023,790,640,1.4416058394160585,1.167883211678832,1.749003984063745,3.569105691056911,1.3448275862068966,0.9482071713147411,1.934959349593496,1.2528735632183907
85,Republic of Ireland,578,57,18,19,20,66,73,276,134,67,75,436,266,245,69,105,71,285,370,magenta,38.23529411764706,33.04498269896194,28.719723183391004,48.55072463768116,28.163265306122447,31.57894736842105,787,709,1.3615916955017302,1.226643598615917,1.5797101449275361,1.779591836734694,1.1578947368421053,0.9637681159420289,1.0857142857142856,1.280701754385965
86,Romania,706,80,29,30,21,119,112,293,175,55,63,601,294,333,105,131,97,434,502,maroon,43.76770538243626,30.59490084985836,25.63739376770538,59.72696245733788,31.53153153153153,36.25,1154,908,1.6345609065155808,1.2861189801699717,2.051194539249147,1.8048048048048049,1.4875,1.0034129692832765,0.8828828828828829,1.4
87,Russia,710,131,74,32,25,226,121,143,80,25,38,264,139,436,208,105,123,729,434,mediumaquamarine,50.985915492957744,22.816901408450704,26.197183098591548,55.94405594405595,47.706422018348626,56.48854961832062,1219,694,1.7169014084507042,0.9774647887323944,1.8461538461538463,0.6055045871559633,1.7251908396946565,0.972027972027972,0.31880733944954126,0.9236641221374046
88,Saudi Arabia,631,253,112,84,57,342,284,265,158,51,56,528,226,113,34,50,29,137,157,mediumblue,48.17749603803487,29.318541996830426,22.503961965134707,59.62264150943396,30.08849557522124,44.26877470355731,1007,667,1.5958795562599049,1.057052297939778,1.9924528301886792,4.672566371681416,1.3517786561264822,0.8528301886792453,2.0,1.1225296442687747
89,Scotland,795,44,12,19,13,58,63,372,214,82,76,725,365,379,150,147,82,585,551,mediumorchid,47.29559748427673,31.19496855345912,21.50943396226415,57.52688172043011,39.577836411609496,27.27272727272727,1368,979,1.7207547169811321,1.231446540880503,1.9489247311827957,1.912928759894459,1.3181818181818181,0.9811827956989247,0.9630606860158312,1.4318181818181819
90,Senegal,540,172,80,39,53,233,157,169,112,22,35,293,100,199,46,95,58,179,260,mediumpurple,44.074074074074076,28.888888888888886,27.037037037037038,66.27218934911244,23.115577889447238,46.51162790697674,705,517,1.3055555555555556,0.9574074074074074,1.7337278106508875,1.4723618090452262,1.3546511627906976,0.591715976331361,0.5025125628140703,0.9127906976744186
91,Sierra Leone,256,44,18,11,15,47,47,100,52,21,27,130,78,112,8,83,21,65,222,mediumseagreen,30.46875,44.921875,24.609375,52.0,7.142857142857142,40.909090909090914,242,347,0.9453125,1.35546875,1.3,1.1607142857142858,1.0681818181818181,0.78,0.6964285714285714,1.0681818181818181
92,Singapore,560,194,51,111,32,255,422,235,94,97,44,375,378,131,23,75,33,102,241,mediumslateblue,30.0,50.535714285714285,19.464285714285715,40.0,17.557251908396946,26.288659793814436,732,1041,1.3071428571428572,1.8589285714285715,1.5957446808510638,2.8625954198473282,1.3144329896907216,1.6085106382978724,2.885496183206107,2.1752577319587627
93,Slovakia,305,37,10,16,11,38,48,130,63,33,34,225,133,138,49,61,28,173,208,mediumspringgreen,40.0,36.0655737704918,23.934426229508198,48.46153846153846,35.507246376811594,27.027027027027028,436,389,1.4295081967213115,1.2754098360655737,1.7307692307692308,1.6304347826086956,1.027027027027027,1.023076923076923,0.9637681159420289,1.2972972972972974
94,Slovenia,260,26,5,11,10,30,41,117,55,40,22,175,129,117,32,53,32,117,140,mediumturquoise,35.38461538461539,40.0,24.615384615384617,47.008547008547005,27.350427350427353,19.230769230769234,322,310,1.2384615384615385,1.1923076923076923,1.4957264957264957,1.4957264957264957,1.1538461538461537,1.1025641025641026,1.1025641025641026,1.5769230769230769
95,South Africa,418,76,25,22,29,98,89,203,108,39,56,273,144,139,52,53,34,186,177,mediumvioletred,44.25837320574163,27.27272727272727,28.4688995215311,53.20197044334976,37.410071942446045,32.89473684210527,557,410,1.332535885167464,0.9808612440191388,1.3448275862068966,1.9640287769784173,1.2894736842105263,0.7093596059113301,1.0359712230215827,1.1710526315789473
96,Spain,713,117,67,23,27,216,112,319,223,38,58,772,218,277,124,70,83,449,309,midnightblue,58.06451612903226,18.37307152875175,23.56241234221599,69.90595611285266,44.765342960288805,57.26495726495726,1437,639,2.015427769985975,0.8962131837307152,2.420062695924765,2.7870036101083033,1.8461538461538463,0.6833855799373041,0.7870036101083032,0.9572649572649573
97,Sudan,404,132,44,47,41,165,163,122,65,35,22,183,124,150,27,85,38,108,252,mintcream,33.663366336633665,41.336633663366335,25.0,53.278688524590166,18.0,33.33333333333333,456,539,1.1287128712871286,1.3341584158415842,1.5,1.22,1.25,1.0163934426229508,0.8266666666666667,1.2348484848484849
98,Suriname,355,74,27,28,19,145,124,114,73,21,20,292,119,167,57,68,42,254,266,mistyrose,44.225352112676056,32.95774647887324,22.816901408450704,64.03508771929825,34.13173652694611,36.486486486486484,691,509,1.9464788732394367,1.4338028169014085,2.56140350877193,1.748502994011976,1.9594594594594594,1.043859649122807,0.7125748502994012,1.6756756756756757
99,Sweden,1036,110,43,33,34,159,115,456,272,90,94,1091,527,470,195,177,98,790,684,moccasin,49.22779922779923,28.957528957528954,21.814671814671815,59.64912280701754,41.48936170212766,39.09090909090909,2040,1326,1.9691119691119692,1.27992277992278,2.392543859649123,2.321276595744681,1.4454545454545455,1.155701754385965,1.1212765957446809,1.0454545454545454
100,Switzerland,815,61,21,26,14,77,97,393,175,132,86,686,551,361,91,191,79,436,716,navajowhite,35.21472392638037,42.82208588957055,21.96319018404908,44.529262086513995,25.20775623268698,34.42622950819672,1199,1364,1.471165644171779,1.6736196319018406,1.7455470737913485,1.9002770083102494,1.2622950819672132,1.4020356234096691,1.5263157894736843,1.5901639344262295
101,Tanzania,536,137,47,59,31,188,218,178,68,48,62,218,173,221,33,127,61,197,417,navy,27.611940298507463,43.656716417910445,28.73134328358209,38.20224719101123,14.93212669683258,34.306569343065696,603,808,1.125,1.507462686567164,1.2247191011235956,0.9864253393665159,1.3722627737226278,0.9719101123595506,0.7828054298642534,1.5912408759124088
102,Thailand,644,233,71,108,54,352,446,278,145,66,67,499,296,133,21,83,29,135,270,oldlace,36.80124223602485,39.90683229813665,23.29192546583851,52.15827338129496,15.789473684210526,30.472103004291846,986,1012,1.531055900621118,1.5714285714285714,1.7949640287769784,3.7518796992481205,1.5107296137339057,1.064748201438849,2.225563909774436,1.9141630901287554
103,Togo,391,89,27,38,24,109,122,138,69,35,34,193,124,164,24,96,44,119,284,olive,30.69053708439898,43.22250639386189,26.08695652173913,50.0,14.634146341463413,30.337078651685395,421,530,1.0767263427109974,1.3554987212276215,1.3985507246376812,1.1768292682926829,1.2247191011235956,0.8985507246376812,0.7560975609756098,1.3707865168539326
104,Trinidad and Tobago,676,120,51,44,25,212,152,268,156,57,55,567,249,288,86,139,63,371,483,olivedrab,43.34319526627219,35.50295857988166,21.153846153846153,58.2089552238806,29.86111111111111,42.5,1150,884,1.7011834319526626,1.3076923076923077,2.1156716417910446,1.96875,1.7666666666666666,0.9291044776119403,0.8645833333333334,1.2666666666666666
105,Tunisia,588,125,44,38,43,175,149,269,155,47,67,470,213,194,49,86,59,200,261,orange,42.17687074829932,29.081632653061224,28.741496598639454,57.62081784386617,25.257731958762886,35.199999999999996,845,623,1.4370748299319729,1.0595238095238095,1.7472118959107807,2.422680412371134,1.4,0.79182156133829,1.097938144329897,1.192
106,Turkey,584,69,30,26,13,100,90,253,116,74,63,388,298,262,79,115,68,293,428,orangered,38.52739726027397,36.81506849315068,24.65753424657534,45.8498023715415,30.15267175572519,43.47826086956522,781,816,1.3373287671232876,1.3972602739726028,1.533596837944664,1.4809160305343512,1.4492753623188406,1.1778656126482214,1.1374045801526718,1.3043478260869565
107,USA,701,73,24,37,12,99,122,405,224,91,90,702,395,223,60,120,43,239,406,orchid,43.93723252496434,35.37803138373752,20.684736091298145,55.30864197530864,26.905829596412556,32.87671232876712,1040,923,1.4835948644793153,1.3166904422253922,1.7333333333333334,3.1479820627802693,1.356164383561644,0.9753086419753086,1.7713004484304933,1.6712328767123288
108,Uganda,627,207,93,56,58,321,222,209,124,34,51,442,198,211,49,102,60,204,312,palegoldenrod,42.42424242424242,30.62200956937799,26.953748006379584,59.33014354066985,23.22274881516588,44.927536231884055,967,732,1.5422647527910687,1.167464114832536,2.1148325358851676,2.09478672985782,1.5507246376811594,0.9473684210526315,0.9383886255924171,1.0724637681159421
109,Ukraine,286,42,21,13,8,61,45,127,70,22,35,199,98,117,38,43,36,137,149,palegreen,45.10489510489511,27.27272727272727,27.62237762237762,55.118110236220474,32.47863247863248,50.0,397,292,1.3881118881118881,1.020979020979021,1.5669291338582678,1.7008547008547008,1.4523809523809523,0.7716535433070866,0.8376068376068376,1.0714285714285714
110,United Arab Emirates,531,184,64,75,45,220,246,225,117,52,56,401,235,122,35,58,29,144,182,paleturquoise,40.67796610169492,34.83992467043315,24.48210922787194,52.0,28.688524590163933,34.78260869565217,765,663,1.4406779661016949,1.2485875706214689,1.7822222222222222,3.2868852459016393,1.1956521739130435,1.0444444444444445,1.9262295081967213,1.3369565217391304
111,Uruguay,898,222,109,74,39,419,276,296,175,46,75,548,265,380,104,169,107,441,580,palevioletred,43.207126948775056,32.1826280623608,24.610244988864142,59.12162162162162,27.368421052631582,49.0990990990991,1408,1121,1.5679287305122493,1.2483296213808464,1.8513513513513513,1.4421052631578948,1.8873873873873874,0.8952702702702703,0.6973684210526315,1.2432432432432432
112,Uzbekistan,284,75,34,25,16,120,98,100,60,18,22,213,64,109,30,59,20,131,174,papayawhip,43.66197183098591,35.91549295774648,20.422535211267608,60.0,27.522935779816514,45.33333333333333,464,336,1.6338028169014085,1.1830985915492958,2.13,1.9541284403669725,1.6,0.64,0.5871559633027523,1.3066666666666666
113,Venezuela,393,86,21,47,18,93,171,153,54,57,42,197,223,154,19,106,29,108,365,peachpuff,23.918575063613233,53.43511450381679,22.646310432569976,35.294117647058826,12.337662337662337,24.418604651162788,398,759,1.0127226463104326,1.9312977099236641,1.2875816993464053,1.2792207792207793,1.0813953488372092,1.457516339869281,1.448051948051948,1.9883720930232558
114,Wales,673,28,9,16,3,27,39,316,122,112,82,461,432,329,85,184,60,347,625,peru,32.09509658246657,46.35958395245171,21.545319465081725,38.607594936708864,25.835866261398177,32.142857142857146,835,1096,1.2407132243684993,1.6285289747399703,1.4588607594936709,1.4012158054711246,0.9642857142857143,1.3670886075949367,1.3130699088145896,1.3928571428571428
115,Yugoslavia,481,58,33,14,11,122,69,183,104,44,35,423,233,240,86,102,52,395,438,pink,46.36174636174636,33.264033264033266,20.374220374220375,56.830601092896174,35.833333333333336,56.896551724137936,940,740,1.9542619542619544,1.5384615384615385,2.3114754098360657,1.7625,2.103448275862069,1.273224043715847,0.9708333333333333,1.1896551724137931
116,Zambia,735,202,87,57,58,295,212,222,137,30,55,459,179,311,111,119,81,394,369,plum,45.57823129251701,28.027210884353742,26.39455782312925,61.711711711711715,35.69131832797427,43.06930693069307,1148,760,1.561904761904762,1.034013605442177,2.0675675675675675,1.4758842443729903,1.4603960396039604,0.8063063063063063,0.5755627009646302,1.0495049504950495
117,Zimbabwe,466,113,44,28,41,162,130,151,85,24,42,241,120,202,62,94,46,231,281,powderblue,40.987124463519315,31.330472103004293,27.682403433476395,56.29139072847682,30.693069306930692,38.93805309734513,634,531,1.3605150214592274,1.1394849785407726,1.596026490066225,1.193069306930693,1.4336283185840708,0.7947019867549668,0.594059405940594,1.1504424778761062
