,team,confederation,total_matches,neutral_matches,neutral_matches_wins,neutral_matches_losses,neutral_matches_draws,neutral_matches_goal_scored,neutral_matches_goal_conceded,home_matches,home_matches_wins,home_matches_losses,home_matches_draws,home_matches_goal_scored,home_matches_goal_conceded,away_matches,away_matches_wins,away_matches_losses,away_matches_draws,away_matches_goal_scored,away_matches_goal_conceded,color,tot_wins,tot_losses,tot_draws,home_win_rate,away_win_rate,neutral_win_rate,tot_goal_scored,tot_goal_conceded,goal_scored_rate,goal_conceded_rate,home_goal_scored_rate,away_goal_scored_rate,neutral_goal_scored_rate,home_goal_conceded_rate,away_goal_conceded_rate,neutral_goal_conceded_rate
1,Albania,UEFA,341,23,8,10,5,24,29,158,58,63,37,178,179,160,24,107,29,115,319,aliceblue,26.392961876832842,52.785923753665685,20.821114369501466,36.708860759493675,15.0,34.78260869565217,317,527,0.9296187683284457,1.5454545454545454,1.1265822784810127,1.1125,1.0434782608695652,1.1329113924050633,1.11875,1.2608695652173914
2,Algeria,CAF,508,140,56,46,38,196,147,190,122,25,43,381,143,178,41,78,59,145,223,antiquewhite,43.110236220472444,29.330708661417322,27.559055118110237,64.21052631578948,23.03370786516854,40.0,722,513,1.421259842519685,1.0098425196850394,2.0052631578947366,2.140449438202247,1.4,0.7526315789473684,0.8033707865168539,1.05
5,Angola,CAF,348,85,22,30,33,90,103,120,67,17,36,181,89,143,29,62,52,118,180,aqua,33.90804597701149,31.321839080459768,34.770114942528735,55.833333333333336,20.27972027972028,25.882352941176475,389,372,1.117816091954023,1.0689655172413792,1.5083333333333333,1.2657342657342658,1.0588235294117647,0.7416666666666667,0.6223776223776224,1.2117647058823529
8,Argentina,CONMEBOL,991,272,164,53,55,577,289,335,220,31,84,716,259,384,147,128,109,550,488,aquamarine,53.58224016145308,21.39253279515641,25.02522704339051,65.67164179104478,38.28125,60.29411764705882,1843,1036,1.8597376387487385,1.0454086781029264,2.1373134328358208,1.8645833333333333,2.1213235294117645,0.7731343283582089,0.6744791666666666,1.0625
11,Australia,AFC,509,110,55,30,25,233,125,214,119,54,41,495,238,185,76,63,46,287,201,azure,49.115913555992144,28.880157170923383,22.00392927308448,55.60747663551402,41.08108108108108,50.0,1015,564,1.994106090373281,1.1080550098231827,2.3130841121495327,2.675675675675676,2.118181818181818,1.1121495327102804,1.2864864864864864,1.1363636363636365
12,Austria,UEFA,798,45,14,22,9,57,71,398,206,116,76,801,517,355,113,156,86,559,664,beige,41.72932330827068,36.84210526315789,21.428571428571427,51.75879396984925,31.83098591549296,31.11111111111111,1417,1252,1.7756892230576442,1.568922305764411,2.012562814070352,2.256338028169014,1.2666666666666666,1.2989949748743719,1.4563380281690141,1.5777777777777777
15,Bahrain,AFC,488,190,63,73,54,232,243,175,71,53,51,246,184,123,28,60,35,110,195,bisque,33.19672131147541,38.114754098360656,28.688524590163933,40.57142857142857,22.76422764227642,33.1578947368421,588,622,1.2049180327868851,1.2745901639344261,1.4057142857142857,2.0,1.2210526315789474,1.0514285714285714,1.4959349593495934,1.2789473684210526
17,Barbados,CONCACAF,235,41,14,22,5,64,81,114,47,33,34,156,132,80,19,47,14,81,170,black,34.04255319148936,43.40425531914894,22.5531914893617,41.228070175438596,23.75,34.146341463414636,301,383,1.2808510638297872,1.6297872340425532,1.368421052631579,1.95,1.5609756097560976,1.1578947368421053,1.65,1.975609756097561
19,Belgium,UEFA,778,71,32,24,15,109,90,375,201,101,73,788,503,332,110,145,77,493,608,blanchedalmond,44.087403598971726,34.70437017994858,21.20822622107969,53.6,33.13253012048193,45.07042253521127,1390,1201,1.7866323907455013,1.5437017994858613,2.1013333333333333,2.3734939759036147,1.5352112676056338,1.3413333333333333,1.5150602409638554,1.267605633802817
24,Bolivia,CONMEBOL,469,127,10,85,32,80,306,163,76,42,45,279,192,179,17,125,37,127,411,blue,21.961620469083158,53.73134328358209,24.307036247334754,46.62576687116564,9.497206703910614,7.874015748031496,486,909,1.0362473347547974,1.9381663113006398,1.7116564417177915,1.558659217877095,0.6299212598425197,1.177914110429448,1.0726256983240223,2.409448818897638
26,Botswana,CAF,264,37,8,18,11,42,54,125,45,45,35,106,121,102,11,59,32,50,172,blueviolet,24.242424242424242,46.21212121212121,29.545454545454547,36.0,10.784313725490197,21.62162162162162,198,347,0.75,1.3143939393939394,0.848,1.0392156862745099,1.135135135135135,0.968,1.1862745098039216,1.4594594594594594
27,Brazil,CONMEBOL,991,328,217,56,55,746,300,346,253,23,70,875,261,317,163,79,75,544,331,brown,63.87487386478304,15.943491422805248,20.181634712411707,73.121387283237,51.419558359621455,66.15853658536585,2165,892,2.1846619576185673,0.900100908173562,2.5289017341040463,2.7602523659305995,2.274390243902439,0.7543352601156069,0.8233438485804416,0.9146341463414634
29,Bulgaria,UEFA,663,69,21,29,19,77,113,254,128,67,59,462,290,340,96,160,84,395,582,burlywood,36.95324283559578,38.612368024132735,24.43438914027149,50.39370078740157,28.235294117647058,30.434782608695656,934,985,1.4087481146304677,1.4856711915535445,1.8188976377952757,1.3588235294117648,1.1159420289855073,1.141732283464567,0.8529411764705882,1.6376811594202898
30,Burkina Faso,CAF,390,92,27,40,25,104,124,118,63,19,36,187,110,180,33,99,48,153,299,cadetblue,31.538461538461537,40.51282051282051,27.94871794871795,53.38983050847458,18.333333333333332,29.347826086956523,444,533,1.1384615384615384,1.3666666666666667,1.5847457627118644,1.038888888888889,1.1304347826086956,0.9322033898305084,0.6111111111111112,1.3478260869565217
34,Cameroon,CAF,533,186,76,52,58,243,203,145,92,15,38,260,98,202,62,69,71,227,253,chartreuse,43.151969981238274,25.515947467166978,31.33208255159475,63.44827586206897,30.693069306930692,40.86021505376344,730,554,1.3696060037523452,1.0393996247654784,1.793103448275862,1.2871287128712872,1.3064516129032258,0.6758620689655173,0.48514851485148514,1.0913978494623655
35,Canada,CONCACAF,376,96,41,33,22,151,109,114,53,39,22,158,129,166,41,85,40,146,271,chocolate,35.90425531914894,41.755319148936174,22.340425531914892,46.49122807017544,24.69879518072289,42.70833333333333,455,509,1.2101063829787233,1.3537234042553192,1.3859649122807018,0.9518072289156626,1.5729166666666667,1.131578947368421,0.7771084337349398,1.1354166666666667
39,Chile,CONMEBOL,769,205,70,92,43,270,327,290,165,67,58,580,318,274,59,151,64,246,459,coral,38.23146944083225,40.31209362808843,21.456436931079324,56.896551724137936,21.532846715328464,34.146341463414636,1096,1104,1.4252275682704811,1.435630689206762,2.0,2.116788321167883,1.3170731707317074,1.096551724137931,1.1605839416058394,1.5951219512195123
40,China PR,AFC,574,168,80,53,35,317,182,219,128,42,49,456,216,187,63,74,50,233,224,cornflowerblue,47.21254355400697,29.442508710801395,23.34494773519164,58.44748858447488,33.68983957219251,47.61904761904761,1006,622,1.7526132404181185,1.083623693379791,2.0821917808219177,2.4385026737967914,1.8869047619047619,0.9863013698630136,1.1550802139037433,1.0833333333333333
41,Colombia,CONMEBOL,562,202,82,69,51,253,268,158,83,40,35,241,138,202,53,79,70,197,258,cornsilk,38.79003558718861,33.45195729537366,27.75800711743772,52.53164556962025,26.237623762376238,40.5940594059406,691,664,1.2295373665480427,1.1814946619217082,1.5253164556962024,1.193069306930693,1.2524752475247525,0.8734177215189873,0.6831683168316832,1.3267326732673268
43,Congo,CAF,373,72,32,27,13,100,92,144,67,36,41,218,147,157,29,86,42,151,270,crimson,34.316353887399465,39.946380697050934,25.737265415549597,46.52777777777778,18.471337579617835,44.44444444444444,469,509,1.257372654155496,1.3646112600536193,1.5138888888888888,1.3885350318471337,1.3888888888888888,1.0208333333333333,0.9363057324840764,1.2777777777777777
46,Costa Rica,CONCACAF,610,179,77,56,46,299,209,202,127,29,46,433,156,229,51,113,65,247,356,cyan,41.80327868852459,32.459016393442624,25.73770491803279,62.87128712871287,22.270742358078603,43.01675977653631,979,721,1.6049180327868853,1.181967213114754,2.1435643564356437,1.8908296943231442,1.670391061452514,0.7722772277227723,0.6812227074235808,1.1675977653631284
47,Croatia,UEFA,336,58,26,19,13,87,67,134,89,13,32,289,101,144,60,41,43,205,178,darkblue,52.083333333333336,21.726190476190478,26.190476190476193,66.4179104477612,41.66666666666667,44.827586206896555,581,346,1.7291666666666667,1.0297619047619047,2.156716417910448,2.0069444444444446,1.5,0.753731343283582,0.7013888888888888,1.1551724137931034
50,Cyprus,UEFA,375,7,1,4,2,4,12,208,56,108,44,228,350,160,14,130,16,93,457,darkcyan,18.933333333333334,64.53333333333333,16.53333333333333,26.923076923076923,8.75,14.285714285714285,325,819,0.8666666666666667,2.184,1.0961538461538463,1.425,0.5714285714285714,1.6826923076923077,2.1875,1.7142857142857142
51,Czech Republic,UEFA,315,53,25,21,7,83,69,124,84,24,16,279,100,138,60,40,38,198,144,darkgoldenrod,53.65079365079365,26.984126984126984,19.365079365079367,67.74193548387096,43.47826086956522,47.16981132075472,560,313,1.7777777777777777,0.9936507936507937,2.25,2.0217391304347827,1.5660377358490567,0.8064516129032258,0.7246376811594203,1.3018867924528301
52,Czechoslovakia,UEFA,477,43,15,19,9,62,63,188,119,25,44,474,216,246,81,107,58,352,383,darkgray,45.073375262054505,31.656184486373167,23.270440251572328,63.297872340425535,32.926829268292686,34.883720930232556,888,662,1.8616352201257862,1.3878406708595388,2.521276595744681,1.9268292682926829,1.441860465116279,1.148936170212766,0.8780487804878049,1.4651162790697674
53,C̫te d'Ivoire,CAF,571,177,84,50,43,266,200,191,133,18,40,415,141,203,67,74,62,232,249,darkgreen,49.73730297723292,24.86865148861646,25.39404553415061,69.63350785340315,33.004926108374384,47.45762711864407,913,590,1.5989492119089317,1.0332749562171628,2.1727748691099475,2.044334975369458,1.502824858757062,0.7382198952879581,0.6945812807881774,1.1299435028248588
54,Denmark,UEFA,807,67,26,24,17,93,89,376,212,91,73,836,444,364,128,155,81,519,564,darkgrey,45.353159851301115,33.457249070631974,21.189591078066915,56.38297872340425,35.16483516483517,38.80597014925373,1448,1097,1.7942998760842628,1.359355638166047,2.223404255319149,2.2967032967032965,1.3880597014925373,1.1808510638297873,1.2197802197802199,1.328358208955224
58,Ecuador,CONMEBOL,522,174,37,91,46,196,338,164,88,36,40,282,169,184,31,111,42,158,342,darkkhaki,29.88505747126437,45.593869731800766,24.521072796934863,53.65853658536586,16.847826086956523,21.26436781609195,636,849,1.2183908045977012,1.6264367816091954,1.7195121951219512,1.5326086956521738,1.1264367816091954,1.0304878048780488,0.9184782608695652,1.9425287356321839
59,Egypt,CAF,622,171,83,48,40,289,170,250,165,41,44,506,193,201,57,71,73,197,247,darkmagenta,49.035369774919616,25.723472668810288,25.241157556270092,66.0,28.35820895522388,48.53801169590643,992,610,1.594855305466238,0.9807073954983923,2.024,2.517412935323383,1.6900584795321638,0.772,0.9601990049751243,0.9941520467836257
60,El Salvador,CONCACAF,511,206,63,92,51,216,296,151,84,41,26,310,176,154,24,95,35,105,276,darkolivegreen,33.46379647749511,44.61839530332681,21.91780821917808,55.62913907284768,15.584415584415584,30.582524271844658,631,748,1.2348336594911937,1.4637964774951076,2.052980132450331,2.012987012987013,1.0485436893203883,1.1655629139072847,1.1428571428571428,1.4368932038834952
61,England,UEFA,1025,108,42,33,33,151,112,459,296,63,100,1103,398,458,246,101,111,982,488,darkorange,56.975609756097555,19.21951219512195,23.804878048780488,64.4880174291939,53.7117903930131,38.88888888888889,2236,998,2.1814634146341465,0.9736585365853658,2.403050108932462,2.408296943231441,1.3981481481481481,0.8671023965141612,0.868995633187773,1.037037037037037
64,Estonia,UEFA,487,50,11,24,15,55,96,206,67,88,51,241,288,231,43,146,42,191,484,darkorchid,24.84599589322382,52.977412731006154,22.176591375770023,32.5242718446602,18.614718614718615,22.0,487,868,1.0,1.782340862422998,1.1699029126213591,1.0432900432900434,1.1,1.3980582524271845,1.2467532467532467,1.92
65,Ethiopia,CAF,353,71,19,35,17,87,123,164,83,38,43,277,148,118,24,78,16,121,260,darkred,35.69405099150141,42.77620396600567,21.529745042492916,50.609756097560975,20.33898305084746,26.76056338028169,485,531,1.3739376770538243,1.5042492917847026,1.6890243902439024,2.347457627118644,1.2253521126760563,0.9024390243902439,1.2542372881355932,1.732394366197183
68,Finland,UEFA,754,48,18,20,10,51,52,309,100,148,61,457,612,397,77,236,84,377,900,darksalmon,25.862068965517242,53.58090185676393,20.55702917771883,32.362459546925564,19.395465994962215,37.5,885,1564,1.1737400530503979,2.0742705570291777,1.4789644012944985,1.151133501259446,1.0625,1.9805825242718447,1.5415617128463477,1.0833333333333333
69,France,UEFA,847,95,45,26,24,154,112,435,256,92,87,878,467,317,124,123,70,482,526,darkseagreen,50.17709563164109,28.45336481700118,21.369539551357732,58.85057471264368,39.11671924290221,47.368421052631575,1514,1105,1.7874852420306966,1.3046044864226682,2.018390804597701,2.769716088328076,1.6210526315789473,1.0735632183908046,1.473186119873817,1.1789473684210525
70,Gabon,CAF,357,83,25,27,31,101,99,152,74,30,48,211,114,122,24,73,25,100,193,darkslateblue,34.45378151260504,36.41456582633053,29.13165266106443,48.68421052631579,19.672131147540984,30.120481927710845,412,406,1.1540616246498598,1.1372549019607843,1.388157894736842,1.7295081967213115,1.216867469879518,0.75,0.9344262295081968,1.1927710843373494
73,Germany,UEFA,964,151,84,34,33,288,182,424,266,70,88,1090,447,389,211,99,79,775,490,darkslategray,58.19502074688797,21.058091286307054,20.74688796680498,62.735849056603776,54.24164524421594,55.62913907284768,2153,1119,2.233402489626556,1.1607883817427387,2.5707547169811322,2.802056555269923,1.9072847682119205,1.054245283018868,1.1491002570694087,1.205298013245033
74,Ghana,CAF,601,193,93,50,50,274,186,172,111,16,45,374,126,236,80,90,66,322,305,darkslategrey,47.25457570715474,25.9567387687188,26.788685524126453,64.53488372093024,33.89830508474576,48.18652849740933,970,617,1.6139767054908485,1.026622296173045,2.1744186046511627,1.5847457627118644,1.4196891191709844,0.7325581395348837,0.5338983050847458,0.9637305699481865
76,Greece,UEFA,569,59,18,29,12,56,94,260,123,77,60,391,297,250,71,105,74,258,395,darkturquoise,37.258347978910365,37.08260105448154,25.65905096660808,47.30769230769231,28.4,30.508474576271187,705,786,1.2390158172231986,1.3813708260105448,1.5038461538461538,1.564,0.9491525423728814,1.1423076923076922,1.188,1.5932203389830508
79,Guatemala,CONCACAF,455,168,56,64,48,227,225,152,80,35,37,283,159,135,25,79,31,119,231,darkviolet,35.38461538461539,39.120879120879124,25.494505494505493,52.63157894736842,18.51851851851852,33.33333333333333,629,615,1.3824175824175824,1.3516483516483517,1.861842105263158,2.096296296296296,1.3511904761904763,1.0460526315789473,1.1777777777777778,1.3392857142857142
80,Guinea,CAF,468,154,54,51,49,205,193,121,81,12,28,235,82,193,38,96,59,195,300,deeppink,36.965811965811966,33.97435897435898,29.059829059829063,66.94214876033058,19.689119170984455,35.064935064935064,635,575,1.356837606837607,1.2286324786324787,1.9421487603305785,1.217616580310881,1.3311688311688312,0.6776859504132231,0.42487046632124353,1.2532467532467533
83,Haiti,CONCACAF,420,127,50,45,32,180,169,154,78,38,38,293,152,139,44,74,21,174,255,deepskyblue,40.95238095238095,37.38095238095238,21.666666666666668,50.649350649350644,31.654676258992804,39.37007874015748,647,576,1.5404761904761906,1.3714285714285714,1.9025974025974026,2.1079136690647484,1.4173228346456692,0.987012987012987,1.0935251798561152,1.330708661417323
84,Honduras,CONCACAF,517,182,77,59,46,286,223,173,99,26,48,302,125,162,33,84,45,172,286,dimgray,40.42553191489361,32.688588007736946,26.88588007736944,57.22543352601156,20.37037037037037,42.30769230769231,760,634,1.4700193423597678,1.2263056092843327,1.745664739884393,1.8641975308641976,1.5714285714285714,0.7225433526011561,0.7716049382716049,1.2252747252747254
85,Hong Kong,AFC,350,124,39,56,29,202,197,126,44,50,32,195,183,100,25,56,19,97,194,dimgrey,30.857142857142854,46.285714285714285,22.857142857142858,34.92063492063492,25.0,31.451612903225808,494,574,1.4114285714285715,1.64,1.5476190476190477,1.95,1.6290322580645162,1.4523809523809523,1.83,1.5887096774193548
86,Hungary,UEFA,931,64,30,22,12,134,91,424,239,90,95,981,517,443,165,179,99,776,787,dodgerblue,46.616541353383454,31.256713211600427,22.12674543501611,56.367924528301884,37.24604966139955,46.875,1891,1395,2.0311493018259936,1.498388829215897,2.313679245283019,2.214446952595937,2.09375,1.2193396226415094,1.1670428893905191,1.421875
87,IR Iran,AFC,496,161,73,40,48,274,146,183,125,21,37,422,108,152,72,37,43,208,145,firebrick,54.43548387096774,19.758064516129032,25.806451612903224,68.30601092896174,47.368421052631575,45.3416149068323,904,399,1.8225806451612903,0.8044354838709677,2.3060109289617485,2.776315789473684,1.7018633540372672,0.5901639344262295,0.7105263157894737,0.906832298136646
88,Iceland,UEFA,447,47,12,21,14,42,70,186,79,71,36,259,238,214,49,130,35,239,435,floralwhite,31.319910514541387,49.664429530201346,19.015659955257274,42.473118279569896,22.897196261682243,25.53191489361702,540,743,1.2080536912751678,1.662192393736018,1.39247311827957,1.2102803738317758,0.8936170212765957,1.2795698924731183,1.1121495327102804,1.4893617021276595
89,India,AFC,359,135,49,54,32,187,204,118,44,42,32,172,166,106,22,65,19,122,257,forestgreen,32.03342618384401,44.84679665738162,23.119777158774372,37.28813559322034,20.754716981132077,36.2962962962963,481,627,1.33983286908078,1.7465181058495822,1.4576271186440677,1.6226415094339623,1.385185185185185,1.4067796610169492,1.5660377358490567,1.511111111111111
90,Indonesia,AFC,487,200,76,86,38,344,312,160,76,52,32,298,220,127,22,79,26,133,308,fuchsia,35.728952772073924,44.558521560574945,19.71252566735113,47.5,17.322834645669293,38.0,775,840,1.591375770020534,1.7248459958932238,1.8625,2.3464566929133857,1.72,1.375,1.7322834645669292,1.56
92,Israel,UEFA,433,26,11,9,6,50,36,224,88,77,59,340,290,183,49,93,41,228,313,gainsboro,34.18013856812933,41.339491916859124,24.480369515011546,39.285714285714285,26.775956284153008,42.30769230769231,618,639,1.4272517321016167,1.4757505773672055,1.5178571428571428,1.8579234972677596,1.9230769230769231,1.2946428571428572,1.5846994535519126,1.3846153846153846
93,Italy,UEFA,816,141,61,35,45,189,154,375,252,32,91,815,277,300,124,85,91,408,350,ghostwhite,53.55392156862745,18.627450980392158,27.818627450980394,67.2,41.333333333333336,43.262411347517734,1412,781,1.7303921568627452,0.9571078431372549,2.1733333333333333,2.716666666666667,1.3404255319148937,0.7386666666666667,0.9233333333333333,1.0921985815602837
94,Jamaica,CONCACAF,535,127,41,54,32,146,181,206,109,46,51,341,190,202,52,114,36,203,365,gold,37.75700934579439,40.0,22.242990654205606,52.9126213592233,25.742574257425744,32.28346456692913,690,736,1.2897196261682242,1.3757009345794393,1.6553398058252426,1.688118811881188,1.1496062992125984,0.9223300970873787,0.9405940594059405,1.4251968503937007
95,Japan,AFC,615,215,96,68,51,397,277,254,144,54,56,489,245,146,53,60,33,180,188,goldenrod,47.642276422764226,29.593495934959353,22.76422764227642,56.69291338582677,36.3013698630137,44.651162790697676,1066,710,1.7333333333333334,1.1544715447154472,1.9251968503937007,3.3493150684931505,1.8465116279069766,0.9645669291338582,1.678082191780822,1.2883720930232558
96,Jordan,AFC,397,115,43,37,35,147,123,155,66,37,52,213,119,127,29,65,33,113,190,gray,34.76070528967254,35.012594458438286,30.22670025188917,42.58064516129032,22.83464566929134,37.391304347826086,473,432,1.1914357682619647,1.0881612090680102,1.3741935483870968,1.6771653543307086,1.2782608695652173,0.7677419354838709,0.937007874015748,1.0695652173913044
98,Kenya,CAF,601,142,52,57,33,188,197,230,117,53,60,358,263,229,41,126,62,220,390,green,34.94176372712147,39.267886855241265,25.79034941763727,50.8695652173913,17.903930131004365,36.61971830985916,766,850,1.2745424292845258,1.4143094841930117,1.5565217391304347,1.5633187772925765,1.323943661971831,1.1434782608695653,1.148471615720524,1.3873239436619718
